"source","source_xml","source_image","target_xml","target_image","objects"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000057.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000057.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000057.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000057.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000058.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000058.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000058.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000058.jpg","8"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000059.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000059.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000059.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000059.jpg","9"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000060.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000060.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000060.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000060.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000061.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000061.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000061.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000061.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000062.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000062.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000062.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000062.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000063.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000063.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000063.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000063.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000064.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000064.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000064.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000064.jpg","12"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000065.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000065.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000065.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000065.jpg","11"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000066.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000066.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000066.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000066.jpg","11"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000067.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000067.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000067.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000067.jpg","12"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000068.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000068.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000068.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000068.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000069.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000069.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000069.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000069.jpg","9"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000070.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000070.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000070.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000070.jpg","5"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000071.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000071.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000071.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000071.jpg","6"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000072.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000072.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000072.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000072.jpg","3"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000073.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000073.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000073.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000073.jpg","3"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000074.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000074.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000074.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000074.jpg","2"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000075.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000075.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000075.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000075.jpg","2"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000076.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000076.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000076.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000076.jpg","2"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000077.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000077.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000077.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000077.jpg","3"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000078.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000078.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000078.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000078.jpg","1"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000079.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000079.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000079.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000079.jpg","3"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000080.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000080.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000080.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000080.jpg","4"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000081.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000081.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000081.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000081.jpg","6"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000082.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000082.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000082.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000082.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000083.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000083.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000083.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000083.jpg","11"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000084.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000084.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000084.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000084.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000085.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000085.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000085.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000085.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000086.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000086.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000086.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000086.jpg","7"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000087.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000087.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000087.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000087.jpg","4"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000088.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000088.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000088.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000088.jpg","6"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000089.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000089.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000089.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000089.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000090.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000090.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000090.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000090.jpg","9"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000091.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000091.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000091.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000091.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000092.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000092.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000092.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000092.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000093.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000093.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000093.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000093.jpg","8"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000094.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000094.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000094.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000094.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000095.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000095.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000095.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000095.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000096.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000096.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000096.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000096.jpg","11"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000097.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000097.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000097.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000097.jpg","3"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000098.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000098.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000098.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000098.jpg","8"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000099.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000099.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000099.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000099.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000100.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000100.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000100.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000100.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000101.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000101.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000101.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000101.jpg","11"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000102.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000102.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000102.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000102.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000103.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000103.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000103.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000103.jpg","14"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000104.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000104.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000104.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000104.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000105.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000105.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000105.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000105.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000106.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000106.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000106.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000106.jpg","12"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000107.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000107.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000107.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000107.jpg","9"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000108.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000108.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000108.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000108.jpg","8"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000109.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000109.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000109.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000109.jpg","12"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000110.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000110.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000110.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000110.jpg","13"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000111.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000111.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000111.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000111.jpg","10"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000112.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000112.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000112.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000112.jpg","9"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000113.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000113.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000113.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000113.jpg","6"
"allied_ai2","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000114.xml","M:\ra3_bot\data\datasets\ra3_allied\raw_frames\allied_ai2_000114.jpg","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000114.xml","M:\ra3_bot\data\datasets\ra3_unified\raw_frames\allied_ai2_allied_ai2_000114.jpg","6"
